date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:33	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.3a.delayed	(from http://www.carquefou-football.com/devenir-partenaire.html)
17:13:34	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:33%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/contact.html)
17:13:34	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.3c.delayed	(from http://www.carquefou-football.com/contact.html)
17:13:34	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.3d.delayed	(from http://www.carquefou-football.com/contact.html)
17:13:34	43502/43502	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:31%20GMT	http://www.carquefou-football.com/mentions-legales.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/mentions-legales.html	(from http://www.carquefou-football.com/)
17:13:34	30242/30242	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:32%20GMT	http://www.carquefou-football.com/staff.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/staff.html	(from http://www.carquefou-football.com/)
17:13:34	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:34%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/la-boutique.html)
17:13:34	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.3f.delayed	(from http://www.carquefou-football.com/la-boutique.html)
17:13:34	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.40.delayed	(from http://www.carquefou-football.com/la-boutique.html)
17:13:36	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:35%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/le-club/actualites/1375-ag2016retour.html)
17:13:36	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.43.delayed	(from http://www.carquefou-football.com/le-club/actualites/1375-ag2016retour.html)
17:13:36	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.44.delayed	(from http://www.carquefou-football.com/le-club/actualites/1375-ag2016retour.html)
17:13:36	34000/34000	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202017%2016:13:35%20GMT	http://www.carquefou-football.com/index.php	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/index-2.html	(from http://www.carquefou-football.com/component/jce/?view=popup&tmpl=component)
17:13:36	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:36%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/le-club/actualites/1379-voeux2017.html)
17:13:36	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.46.delayed	(from http://www.carquefou-football.com/le-club/actualites/1379-voeux2017.html)
17:13:36	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.47.delayed	(from http://www.carquefou-football.com/le-club/actualites/1379-voeux2017.html)
17:13:37	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:36%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/le-club/actualites/1377-bureau20162017.html)
17:13:37	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.49.delayed	(from http://www.carquefou-football.com/le-club/actualites/1377-bureau20162017.html)
17:13:37	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.4a.delayed	(from http://www.carquefou-football.com/le-club/actualites/1377-bureau20162017.html)
17:13:37	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:37%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/le-club/actualites/1371-ag2016.html)
17:13:37	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/22.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/22.4c.delayed	(from http://www.carquefou-football.com/le-club/actualites/1371-ag2016.html)
17:13:37	0/-1	---M--	303	error ('')			http://www.carquefou-football.com/component/banners/click/11.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/11.4d.delayed	(from http://www.carquefou-football.com/le-club/actualites/1371-ag2016.html)
17:13:37	0/0	---MC-	303	error ('See%20other')	text/html	date:Tue,%2031%20Jan%202017%2016:13:37%20GMT	http://www.carquefou-football.com/component/banners/click/7.html	/Users/jean-philippelegoff/websites/usja/www.carquefou-football.com/component/banners/click/7.html	(from http://www.carquefou-football.com/le-club/actualites/1373-gambardellafctours.html)
